number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_dim,params_lr,params_n_rnn_layers,state
74,0.14773444831371307,2025-05-15 12:52:43.041662,2025-05-15 12:55:17.776969,0 days 00:02:34.735307,16.0,0.1,160.0,0.001,1.0,COMPLETE
75,0.14773444831371307,2025-05-15 12:55:17.808058,2025-05-15 12:57:56.481909,0 days 00:02:38.673851,16.0,0.1,160.0,0.001,1.0,COMPLETE
76,0.14773444831371307,2025-05-15 12:57:56.520624,2025-05-15 13:00:40.312798,0 days 00:02:43.792174,16.0,0.1,160.0,0.001,1.0,COMPLETE
77,0.14773444831371307,2025-05-15 13:00:40.344385,2025-05-15 13:03:19.733715,0 days 00:02:39.389330,16.0,0.1,160.0,0.001,1.0,COMPLETE
78,0.14773444831371307,2025-05-15 13:03:19.767364,2025-05-15 13:05:55.909643,0 days 00:02:36.142279,16.0,0.3,160.0,0.001,1.0,COMPLETE
79,0.1526031643152237,2025-05-15 13:05:55.945892,2025-05-15 13:07:17.966804,0 days 00:01:22.020912,32.0,0.1,120.0,0.001,2.0,COMPLETE
80,0.15559044480323792,2025-05-15 13:07:18.003584,2025-05-15 13:14:36.872783,0 days 00:07:18.869199,16.0,0.5,240.0,0.0001,3.0,COMPLETE
81,0.1630779504776001,2025-05-15 13:14:36.907965,2025-05-15 13:21:11.807219,0 days 00:06:34.899254,16.0,0.3,160.0,0.001,4.0,COMPLETE
82,0.15215231478214264,2025-05-15 13:21:11.839899,2025-05-15 13:22:58.738370,0 days 00:01:46.898471,16.0,0.2,10.0,0.01,1.0,COMPLETE
83,0.14773444831371307,2025-05-15 13:22:58.770243,2025-05-15 13:24:40.176486,0 days 00:01:41.406243,16.0,0.4,160.0,0.001,1.0,COMPLETE
84,0.14773444831371307,2025-05-15 13:24:40.213916,2025-05-15 13:26:16.849335,0 days 00:01:36.635419,16.0,0.1,160.0,0.001,1.0,COMPLETE
85,0.14773444831371307,2025-05-15 13:26:16.878364,2025-05-15 13:27:56.682113,0 days 00:01:39.803749,16.0,0.1,160.0,0.001,1.0,COMPLETE
86,0.14773444831371307,2025-05-15 13:27:56.712901,2025-05-15 13:29:37.362778,0 days 00:01:40.649877,16.0,0.1,160.0,0.001,1.0,COMPLETE
87,0.14773444831371307,2025-05-15 13:29:37.392155,2025-05-15 13:31:18.885613,0 days 00:01:41.493458,16.0,0.1,160.0,0.001,1.0,COMPLETE
88,0.14773444831371307,2025-05-15 13:31:18.914649,2025-05-15 13:33:01.767609,0 days 00:01:42.852960,16.0,0.1,160.0,0.001,1.0,COMPLETE
89,0.14984694123268127,2025-05-15 13:33:01.797637,2025-05-15 13:34:26.024831,0 days 00:01:24.227194,256.0,0.3,160.0,0.001,1.0,COMPLETE
90,0.14773444831371307,2025-05-15 13:34:26.054131,2025-05-15 13:36:08.013428,0 days 00:01:41.959297,16.0,0.5,160.0,0.001,1.0,COMPLETE
91,0.14773444831371307,2025-05-15 13:36:08.042463,2025-05-15 13:37:46.147973,0 days 00:01:38.105510,16.0,0.3,160.0,0.001,1.0,COMPLETE
92,1.0892589092254639,2025-05-15 13:37:46.177482,2025-05-15 13:39:18.764273,0 days 00:01:32.586791,128.0,0.1,40.0,0.0001,3.0,COMPLETE
93,0.15046975016593933,2025-05-15 13:39:18.798095,2025-05-15 13:40:31.561409,0 days 00:01:12.763314,32.0,0.3,20.0,0.001,1.0,COMPLETE
94,0.14773444831371307,2025-05-15 13:40:31.591960,2025-05-15 13:42:16.925667,0 days 00:01:45.333707,16.0,0.1,160.0,0.001,1.0,COMPLETE
95,0.14773444831371307,2025-05-15 13:42:16.962275,2025-05-15 13:44:02.817400,0 days 00:01:45.855125,16.0,0.1,160.0,0.001,1.0,COMPLETE
96,0.14773444831371307,2025-05-15 13:44:02.853521,2025-05-15 13:45:46.788347,0 days 00:01:43.934826,16.0,0.1,160.0,0.001,1.0,COMPLETE
97,0.150259867310524,2025-05-15 13:45:46.818688,2025-05-15 13:46:50.063383,0 days 00:01:03.244695,16.0,0.1,120.0,0.001,1.0,COMPLETE
98,0.1678289771080017,2025-05-15 13:46:50.093855,2025-05-15 13:50:25.129479,0 days 00:03:35.035624,16.0,0.5,160.0,0.001,4.0,COMPLETE
99,0.16372522711753845,2025-05-15 13:50:25.162427,2025-05-15 13:53:40.542150,0 days 00:03:15.379723,16.0,0.3,160.0,0.01,2.0,COMPLETE
100,0.14985021948814392,2025-05-15 13:53:40.574537,2025-05-15 13:55:30.281298,0 days 00:01:49.706761,16.0,0.3,240.0,0.001,1.0,COMPLETE
101,0.14773444831371307,2025-05-15 13:55:30.313827,2025-05-15 13:57:21.682128,0 days 00:01:51.368301,16.0,0.1,160.0,0.001,1.0,COMPLETE
102,0.1495385468006134,2025-05-15 13:57:21.711224,2025-05-15 13:59:16.013194,0 days 00:01:54.301970,16.0,0.2,10.0,0.001,1.0,COMPLETE
103,0.14892038702964783,2025-05-15 13:59:16.046515,2025-05-15 14:00:04.323539,0 days 00:00:48.277024,64.0,0.4,80.0,0.001,1.0,COMPLETE
104,0.14773444831371307,2025-05-15 14:00:04.356380,2025-05-15 14:02:02.716387,0 days 00:01:58.360007,16.0,0.5,160.0,0.001,1.0,COMPLETE
105,0.14773444831371307,2025-05-15 14:02:02.749231,2025-05-15 14:04:04.251254,0 days 00:02:01.502023,16.0,0.5,160.0,0.001,1.0,COMPLETE
106,0.14773444831371307,2025-05-15 14:04:04.290372,2025-05-15 14:06:05.008606,0 days 00:02:00.718234,16.0,0.5,160.0,0.001,1.0,COMPLETE
107,0.14773444831371307,2025-05-15 14:06:05.039879,2025-05-15 14:07:59.492876,0 days 00:01:54.452997,16.0,0.5,160.0,0.001,1.0,COMPLETE
108,0.14984694123268127,2025-05-15 14:07:59.526072,2025-05-15 14:09:30.894332,0 days 00:01:31.368260,256.0,0.3,160.0,0.001,1.0,COMPLETE
109,0.14773444831371307,2025-05-15 14:09:30.935916,2025-05-15 14:11:35.771463,0 days 00:02:04.835547,16.0,0.5,160.0,0.001,1.0,COMPLETE
110,0.14773444831371307,2025-05-15 14:11:35.805180,2025-05-15 14:13:24.243985,0 days 00:01:48.438805,16.0,0.3,160.0,0.001,1.0,COMPLETE
111,0.1495586782693863,2025-05-15 14:13:24.275297,2025-05-15 14:15:39.306974,0 days 00:02:15.031677,16.0,0.1,160.0,0.0001,1.0,COMPLETE
112,0.149085134267807,2025-05-15 14:15:39.338137,2025-05-15 14:16:52.069200,0 days 00:01:12.731063,128.0,0.3,160.0,0.001,1.0,COMPLETE
113,0.16966523230075836,2025-05-15 14:16:52.099240,2025-05-15 14:19:29.939182,0 days 00:02:37.839942,16.0,0.5,160.0,0.001,3.0,COMPLETE
114,0.14773444831371307,2025-05-15 14:19:29.977562,2025-05-15 14:21:29.140957,0 days 00:01:59.163395,16.0,0.5,160.0,0.001,1.0,COMPLETE
115,0.14773444831371307,2025-05-15 14:21:29.178224,2025-05-15 14:23:28.277836,0 days 00:01:59.099612,16.0,0.5,160.0,0.001,1.0,COMPLETE
116,0.14773444831371307,2025-05-15 14:23:28.309635,2025-05-15 14:25:25.821986,0 days 00:01:57.512351,16.0,0.5,160.0,0.001,1.0,COMPLETE
117,0.14773444831371307,2025-05-15 14:25:25.855550,2025-05-15 14:27:24.629647,0 days 00:01:58.774097,16.0,0.5,160.0,0.001,1.0,COMPLETE
118,1.0789018869400024,2025-05-15 14:27:24.664782,2025-05-15 14:28:25.427108,0 days 00:01:00.762326,32.0,0.1,20.0,0.001,4.0,COMPLETE
119,0.15249237418174744,2025-05-15 14:28:25.457685,2025-05-15 14:29:34.064314,0 days 00:01:08.606629,16.0,0.3,40.0,0.01,1.0,COMPLETE
